ICAO,NAME
TRH,Airmark Aviation
MMX,Airmax
ANO,Airnorth
APC,"Airpac Airlines, Inc."
APM,"Airpac, Inc."
AHH,Airplanes Holdings
BRP,Airport Bratsk
AHE,"Airport Helicopter Basel, Muller & Co."
IPL,Airpull Aviation
SSN,Airquarius Air Charter
AQU,AirQuarius Aviation
ADA,Airservices Australia
SHH,Airshare Holdings
SPD,Airspeed Aviation
ASP,Airsprint
ASE,Airstars
IME,Airtime Charters
TRS,AirTran Airways
VAB,Airtrans Ltd
TSQ,airtransse
RVL,Airvallee
AVV,Airvantage Incorporated
RVE,Airventure
AIV,Airvias S/A Linhas Aereas
AWV,"Airwave Transport, Inc."
WLA,Airwaves Airlink
AEX,Airway Express
XFX,Airways Corporation of New Zealand
DRM,Airways Flight Training
AWB,"Airways International, Inc."
AWZ,AirWest
NWG,Airwing
WGS,Airwings oy
AWK,Airwork
SPZ,Airworld
AJY,Ajet
AKZ,AK Navigator LLC
AKJ,Akasa Air
AKH,Akhal
AKK,Aklak Air
AKB,Aktjubavia
LHR,Al Ahram Aviation
PHR,Al Farana Airline
HJT,Al Rais Cargo
LRW,Al Rida Airways
LIE,Al-Dawood Air
LDN,Al-Donas Airlines
RAD,Alada
AYD,Aladia Airlines
ANH,Alajnihah for Air Transport
LML,Alamia Air
AVD,"Alamo Aviacion, S.L."
AMH,Alan Mann Helicopters Ltd.
ALV,Alas de Venezuela
ALW,"Alas Nacionales, S.A."
ASA,Alaska Airlines
AER,Alaska Central Express
AAK,Alaska Island Air
BMV,Alatau Airlines
AFQ,Alba Servizi Aerotrasporti
LBC,Albanian Airlines
NBK,Albarka Air
LBW,Albatros Airways
BNI,Alberni Airways
ABK,Alberta Citylink
GOA,Alberta Government
ALD,Albion Aviation
LBI,Albisa
AOA,"Alcon Servicios Aereos, S.A. de C.V."
LEM,Aleem
AXN,Alexandair
JMR,Alexandair
KHH,Alexandria Airlines
FCU,Alfa 4
LFP,Alfa Aerospace
AFA,Alfa Air
AGG,Algoma Airways
AIU,Alicante Internacional Airlines
LID,Alidaunia
PAJ,Aliparma
AZA,Alitalia
CYL,Alitalia CityLiner
SMX,Alitalia Express
LVN,Aliven
AKN,Alkan Air
BLA,All Charter Limited
ANA,All Nippon Airways
ASR,"All Star Airlines, Inc."
CNX,Allcanada Express
ALO,Allegheny Commuter Airlines
AAY,Allegiant Air
GRO,Allegro
AFJ,Alliance
LLR,Alliance Air
UTY,Alliance Airlines
KVR,Alliance Avia
RWB,Alliance Express Rwanda
AJK,Allied Air
ALF,Allied Command Europe (Mobile Force)
MSO,ALMA de México
LMT,Almaty Aviation
VER,Almaver
HPO,Almiron Aviation
LUC,Alninati Aeronautics
AAH,Aloha Air Cargo
LOK,Alok Air
APH,"Alpha Aviation, Inc."
AJW,Alpha Jet International
ELG,Alpi Eagles
AIH,Alpine Air Chile
AIP,Alpine Air Express
LPC,Alpine Aviation
ALP,Alpliner AG
DRU,Alrosa
LSR,Alsair
SQR,Alsaqer Aviation
ALZ,Alta Flights (Charters) Ltd.
AGH,Altagna
ALQ,Altair Aviation (1986)
GTC,Altin Havayolu Tasimaciligi Turizm Ve Ticaret
AXS,Altus Airlines
AQO,Aluminum Company Of America
ALY,Alyeska Air Service
AGT,Amadeus Global Travel Distribution
OBK,Amako Airlines
MLF,Amal Airlines
APF,Amapola Flyg AB
AZN,Amaszonas
GNT,Amber Air
JEE,Ambjek Air Services
MCY,Ambulance Air Africa
AMV,AMC Airlines
VAM,Ameravia
AMK,Amerer Air
AAL,American Airlines
LKP,American Aviation
EGF,American Eagle Airlines
XFS,American Flight Service Systems
FYS,American Flyers
SCM,American Jet International
AMF,Ameriflight
AJT,Amerijet International
AJI,Ameristar Jet Charter
XPE,Amira Air
AMZ,Amiya Airline
MMP,AMP Incorporated
XAM,AMR Services Corporation
XMG,AMS Group
AJV,ANA & JP Express
AKX,ANA Wings
ADX,Anderson Aviation
ANS,Andes Lineas Aereas
AGU,Angara Airlines
NGE,Angel Airlines
NGF,Angel Flight America
VAV,Angkor Air
AOL,Angkor Airlines
AKW,Angkor Airways
ANC,Anglo Cargo
NGV,Angoavia
NGC,Angoservice
AAZ,Angus Aviation
AKF,Anikay Air Company
RZZ,Anoka Air Charter
AAA,Ansett Australia
TIR,Antair
NAU,Antanik-Air
ANM,"Antares Airtransport, Maintenance & Service Gm"
SUN,Antillana De Navegacion Aerea
ADB,Antonov Airlines
ABV,Antrak Air
AOM,AOM French Airlines
APY,APA Internacional
LYT,Apatas Air
APX,Apex Air Cargo
POY,Apoyo Aereo
APL,"Appalachian Flying Service, Inc."
ABO,APSA Colombia
CNH,Aquila Air
AQL,Aquila Air Ltd.
AWS,Arab Wings
KOY,Araiavia
IRW,Aram Airline
ARV,Aravco Ltd.
AKC,Arca Aerovias Colombianas Ltda.
DHM,Archer Aviation
CIR,Arctic Circle Air Service
AWR,Arctic Wings And Rotors Ltd.
AZE,Arcus-Air Logistic
FAG,Argentine Air Force
RGO,Argo
ARY,Argosy Airways
RTO,Arhabaev Tourism Airlines
ARW,Aria
IRX,Aria Tour
AFG,Ariana Afghan Airlines
ARA,Arik Air
